,# Days with AQI ,# Days Good,# Days Moderate,# Days Unhealthy for Sensitive Groups,# Days Unhealthy,# Days Very Unhealthy,# days Hazerdous,AQI Max,AQI 90th %ile,AQI Median,# Days CO,# Days NO2,# Days 03,# Days PM2.5,# Days PM10,17
,356,221,134,1,0,0,0,106,62,45,0,0,53,303,0,0
,359,134,224,1,0,0,0,105,71,54,0,0,58,301,0,0
,365,187,176,2,0,0,0,149,64,50,0,0,57,308,0,0
,279,248,30,1,0,0,0,105,51,38,0,0,229,50,0,0
,119,94,25,0,0,0,0,74,54,36,0,0,0,119,0,0
,364,217,147,0,0,0,0,79,60,46,0,0,0,364,0,0
,365,216,149,0,0,0,0,91,60,46,0,0,49,316,0,0
,356,256,100,0,0,0,0,84,57,37,0,0,0,356,0,0
,335,199,136,0,0,0,0,97,60,46,0,0,79,256,0,0
,245,236,9,0,0,0,0,77,47,35,0,0,245,0,0,0
,354,191,163,0,0,0,0,100,63,48,0,0,0,354,0,0
,362,214,147,1,0,0,0,102,61,45,0,0,0,362,0,0
,364,177,182,5,0,0,0,140,71,51,0,0,0,364,0,423
,245,225,20,0,0,0,0,87,49,38,0,0,245,0,0,0
,365,173,189,3,0,0,0,147,71,52,0,0,89,276,0,0
,365,97,247,18,3,0,0,172,85,57,0,2,113,250,0,0
,365,160,205,0,0,0,0,96,70,52,0,0,85,280,0,0
,363,243,120,0,0,0,0,90,61,43,0,0,63,300,0,0
,365,128,232,5,0,0,0,145,75,54,0,0,61,304,0,0
,365,150,212,2,1,0,0,154,73,52,0,0,52,313,0,0
,281,235,42,4,0,0,0,108,58,41,0,0,228,53,0,0
,191,128,62,1,0,0,0,130,59,41,0,0,0,191,0,0
,363,166,194,3,0,0,0,137,68,52,0,0,0,363,0,0
,351,136,211,3,1,0,0,157,71,53,0,0,42,309,0,0
,322,184,137,1,0,0,0,110,63,46,0,0,0,322,0,0
,352,197,153,2,0,0,0,108,63,48,0,0,45,307,0,0
,244,225,19,0,0,0,0,100,49,38,0,0,244,0,0,0
,359,188,167,4,0,0,0,126,66,48,0,0,0,359,0,0
,365,190,174,0,1,0,0,152,66,49,0,0,0,365,0,0
,241,141,96,4,0,0,0,121,64,47,0,0,0,241,0,424
